user	board	session	speed	uer	cer	SUBJECT
yzk	3	4	36.39937729	0	0.026785714	6
gtf	3	4	39.88469019	0.034090909	0.026785714	7
fkz	3	4	36.43561556	0.022727273	0.03539823	8
gyz	3	4	40.55178851	0.011363636	0.018181818	9
wsj	3	4	46.0957484	0	0.095652174	10
zyh	3	4	45.10668862	0.021505376	0.1484375	11
gjl	3	4	51.30337633	0.043010753	0.052631579	12
cxz	3	4	43.76701682	0	0.052631579	13
lzj	3	4	74.9555728	0	0.027272727	14
lqt	3	4	73.63120982	0.010752688	0.025862069	15
cxl	3	5	38.70402118	0	0.191176471	1
czf	3	5	94.92637108	0.02173913	0.034482759	2
dyh	3	5	51.39834993	0	0.017857143	3
hyh	3	5	55.42945727	0	0.043478261	4
crj	3	5	87.57058805	0.010869565	0	5
yzk	3	5	33.01699793	0	0.017857143	6
gtf	3	5	50.39732746	0.021978022	0.017699115	7
fkz	3	5	41.26563737	0	0.026315789	8
gyz	3	5	48.95092044	0	0.009009009	9
wsj	3	5	51.7380231	0	0	10
zyh	3	5	74.05105874	0	0.026548673	11
gjl	3	5	58.30049302	0.035294118	0	12
cxz	3	5	36.30084108	0	0.036697248	13
lzj	3	5	48.81982749	0.047058824	0.070175439	14
lqt	3	5	73.93287408	0	0.043010753	15
